#,ambientTemperature(*C),ambientTemperaturePMSensor(*C),DateTime,Date,hour
0,23.25,22.56,7/10/2024 0:02,7/10/2024,0
1,23.22,22.64,7/10/2024 0:06,7/10/2024,0
2,23.25,22.63,7/10/2024 0:09,7/10/2024,0
3,23.31,22.69,7/10/2024 0:18,7/10/2024,0
4,23.26,22.68,7/10/2024 0:22,7/10/2024,0
5,23.32,22.67,7/10/2024 0:32,7/10/2024,0
6,23.29,22.72,7/10/2024 0:35,7/10/2024,0
7,23.28,22.72,7/10/2024 0:38,7/10/2024,0
8,23.32,22.72,7/10/2024 0:41,7/10/2024,0
9,23.21,22.7,7/10/2024 0:49,7/10/2024,0
10,23.25,22.7,7/10/2024 0:53,7/10/2024,0
11,23.25,22.67,7/10/2024 1:01,7/10/2024,1
12,23.25,22.67,7/10/2024 1:05,7/10/2024,1
13,23.21,22.65,7/10/2024 1:09,7/10/2024,1
14,23.24,22.65,7/10/2024 1:12,7/10/2024,1
15,23.22,22.67,7/10/2024 1:15,7/10/2024,1
16,23.26,22.7,7/10/2024 1:19,7/10/2024,1
17,23.24,22.7,7/10/2024 1:22,7/10/2024,1
18,23.19,22.68,7/10/2024 1:28,7/10/2024,1
19,23.18,22.64,7/10/2024 1:32,7/10/2024,1
20,23.18,22.61,7/10/2024 1:36,7/10/2024,1
21,23.24,22.63,7/10/2024 1:45,7/10/2024,1
22,23.17,22.61,7/10/2024 1:48,7/10/2024,1
23,23.18,22.6,7/10/2024 1:51,7/10/2024,1
24,23.15,22.58,7/10/2024 1:54,7/10/2024,1
25,23.1,22.52,7/10/2024 1:58,7/10/2024,1
26,23.03,22.41,7/10/2024 2:01,7/10/2024,2
27,23.06,22.33,7/10/2024 2:10,7/10/2024,2
28,23.07,22.36,7/10/2024 2:14,7/10/2024,2
29,23.11,22.49,7/10/2024 2:25,7/10/2024,2
30,23.07,22.48,7/10/2024 2:28,7/10/2024,2
31,23.03,22.45,7/10/2024 2:36,7/10/2024,2
32,23.03,22.43,7/10/2024 2:41,7/10/2024,2
